Date,ratio,ma,diff,z,p1_change,position,strategy_return
2020-02-10,0.6805651778263536,0.6369114288222337,0.04365374900411989,2.3371059922128135,5.087469942862377,-1,0.0
2020-02-11,0.689721586839988,0.6404817130831741,0.04923987375681382,2.2630875040702825,2.946806285856307,-1,-2.946806285856307
2020-02-12,0.6779196593409251,0.6436659323838576,0.03425372695706752,1.1392186168390124,0.16728653134607807,-1,-0.16728653134607807
2020-02-13,0.6988473064870178,0.647372968538247,0.051474337948770765,1.918413167800707,1.1876032601540132,-1,-1.1876032601540132
2020-02-14,0.7122454549554095,0.6517045507707012,0.060540904184708255,2.0332869757236414,1.4304100705211598,-1,-1.4304100705211598
2020-02-18,0.7456571914449709,0.6583526999775046,0.08730449146746633,2.591687325665434,2.8566226308582188,-1,-2.8566226308582188
2020-02-19,0.7504347484602274,0.6647225728256918,0.08571217563453559,2.0885146850396104,3.5331379113992423,-1,-3.5331379113992423
2020-02-20,0.738556520948596,0.6697366605139333,0.0688198604346627,1.3144167085999336,-2.7674041186553477,-1,2.7674041186553477
2020-02-21,0.706365100151691,0.6726291145899066,0.033735985561784365,0.07351262428681153,-6.9670013036046585,0,6.9670013036046585
2020-02-24,0.6802103031801998,0.6742390252822853,0.005971277897914518,-0.8515777317543141,-7.807807700304559,0,-0.0
2020-02-25,0.6842022789349783,0.6758031585091852,0.00839912042579316,-0.7257858894166062,-3.1555359746850753,0,-0.0
2020-02-26,0.6878535346949672,0.6774970257586805,0.010356508936286701,-0.6276170942827561,-0.1681690495493604,0,-0.0
2020-02-27,0.6686745137442481,0.6798656448446898,-0.011191131100441676,-1.3393294074750852,-7.327865306249337,0,-0.0
2020-02-28,0.6701820237353635,0.6813157257108563,-0.011133701975492794,-1.2606168359963192,3.340152866999513,0,0.0
2020-03-02,0.6797390741650118,0.6835191636755872,-0.0037800895105754018,-1.0000429216408153,4.353561042579912,0,0.0
2020-03-03,0.6866163938144177,0.6858160289123914,0.0008003649020263959,-0.8329728764890091,-1.4959947285480335,0,-0.0
2020-03-04,0.7012358179768484,0.6887987378629351,0.012437080113913312,-0.4701240812586038,7.187167080965917,0,0.0
2020-03-05,0.6956129508378465,0.691951493391777,0.0036614574460694937,-0.7560522580142519,-3.9912192688875137,0,-0.0
2020-03-06,0.7179699680403132,0.6964484493442737,0.021521518696039466,-0.23539436404195904,0.9977126089103505,0,0.0
2020-03-09,0.6818738202584911,0.6977241712918932,-0.015850351033402155,-1.3257613428358626,-10.948754225391532,0,-0.0
2020-03-10,0.6584691710362227,0.6966193709523868,-0.038150199916164085,-1.7393226250574783,4.876359112616968,0,0.0
2020-03-11,0.7010581078610625,0.6971861970034404,0.003871910857622063,-0.4781358881131031,0.7051557675018527,0,0.0
2020-03-12,0.6662916989510286,0.6966047989839456,-0.030313100032916984,-1.310528458748611,-14.638954769627766,0,-0.0
2020-03-13,0.6628739786705221,0.6948061325931207,-0.03193215392259863,-1.218585809552749,12.535256125982608,0,0.0
2020-03-16,0.6872124874511659,0.6935544842179086,-0.00634199676674263,-0.45337980906026093,-11.822328612783217,0,-0.0
2020-03-17,0.6961976262828675,0.6910815059598034,0.005116120323064077,-0.015497204829086278,8.189103742226965,0,0.0
2020-03-18,0.7318318766854581,0.6901513623710651,0.04168051431439301,1.5102078822213283,-6.5902628124137275,0,-0.0
2020-03-19,0.7012628149941604,0.6882866770733431,0.01297613792081731,0.6084184511074914,1.7893680522800715,0,0.0
